   depth       train%      valid%      test%    
     0       60.761736   59.308511   57.446809  
     1       88.869206   89.361702   87.677305  
     2       89.548273   90.425532   89.893617  
     3       90.345438   89.361702   89.627660  
     4       90.374963   89.007092   89.361702  
     5       90.522586   89.716312   86.436170  
     6       91.260703   85.815603   85.904255  
     7       94.449365   78.723404   81.737589  
     8       97.372306   79.255319   79.787234  
     9       99.557130   79.432624   80.762411  
     10      100.000000  80.939716   78.102837  
     11      99.881901   79.255319   80.141844  
     12      100.000000  78.812057   79.609929  
     13      99.940951   79.787234   79.875887  
     14      100.000000  77.836879   80.053191  
     15      100.000000  78.989362   78.900709  



   depth       train%      valid%      test%    
     0       60.289342   58.776596   59.397163  
     1       89.134928   87.677305   88.563830  
     2       90.197815   89.539007   88.829787  
     3       90.286389   89.450355   89.893617  
     4       91.024505   89.361702   86.702128  
     5       90.581636   88.475177   88.918440  
     6       92.205492   84.574468   82.978723  
     7       94.124594   80.407801   81.560284  
     8       97.490404   79.432624   79.609929  
     9       99.202834   78.634752   82.446809  
     10      100.000000  79.166667   79.255319  
     11      99.940951   78.546099   79.078014  
     12      99.763803   77.925532   80.230496  
     13      99.881901   79.787234   79.609929  
     14      99.704753   80.407801   78.102837  
     15      100.000000  80.407801   80.230496  
